name,date,a,b,c,d,price
BDWELDING,1/1/2015,15.2,16.5,15.1,15.8,84901
BEACONPHAR,1/1/2015,17.8,18.1,17.5,17.7,306204
BXSYNTH,1/1/2015,12.4,12.6,12.4,12.5,35609
DAFODILCOM,1/1/2015,12.1,14,12.1,13.7,49732
DULAMIACOT,1/1/2015,7.3,7.3,7.2,7.2,2000
FAREASTFIN,1/1/2015,16.4,17.4,16.4,17.2,450940
FINEFOODS,1/1/2015,10.3,11.2,10.3,11,11478
GEMINISEA,1/1/2015,205,220,205,214.8,349
ICBIBANK,1/1/2015,5.5,5.6,5.4,5.6,95130
IMAMBUTTON,1/1/2015,8.1,8.1,8.1,8.1,6000
ISNLTD,1/1/2015,11.6,12.2,11.6,11.9,7614
JUTESPINN,1/1/2015,56.9,57,54.1,56.7,936
KAY&QUE,1/1/2015,13.8,14.5,13.8,13.9,1471
KEYACOSMET,1/1/2015,21.2,22.2,21,22,1769720
LAFSURCEML,1/1/2015,124,132.1,123.2,131.6,1227820
MEGCONMILK,1/1/2015,8.6,8.6,8.2,8.4,15000
MIDASFIN,1/1/2015,17,17,16.7,16.7,4253
MODERNDYE,1/1/2015,95.9,95.9,89.5,92.9,250
NORTHERN,1/1/2015,280,280,280,280,1
PADMALIFE,1/1/2015,39,40,38.9,39.6,105660
PRAGATILIF,1/1/2015,99,101.9,99,100.7,1490
PREMIERLEA,1/1/2015,10.1,10.1,9.9,10,140873
PROGRESLIF,1/1/2015,82.1,82.7,79.1,79.8,6979
RAHIMAFOOD,1/1/2015,38.8,38.8,36.4,37,9613
RNSPIN,1/1/2015,29.5,30,27.6,27.8,427365
SAMATALETH,1/1/2015,22.2,22.2,20.8,21.1,647
SAVAREFR,1/1/2015,48,49,47.1,47.6,340
SONARGAON,1/1/2015,11.2,11.5,11,11.2,16803
SPCERAMICS,1/1/2015,14,14.7,14,14.4,34005
TALLUSPIN,1/1/2015,15.7,15.7,15.3,15.5,61835
ZEALBANGLA,1/1/2015,8.4,8.6,8.4,8.5,3050
1JANATAMF,1/1/2015,5.1,5.3,5.1,5.3,91470
1STICB,1/1/2015,1120,1120,1118,1119.9,355
1STPRIMFMF,1/1/2015,17.7,17.7,16.5,16.8,98515
2NDICB,1/1/2015,277,277,277,277,300
6THICB,1/1/2015,56.9,56.9,56.3,56.8,2772
7THICB,1/1/2015,92,93,92,92.2,360
8THICB,1/1/2015,66.1,66.1,66.1,66.1,1000
ABB1STMF,1/1/2015,6.2,6.2,6,6,652085
AIBL1STIMF,1/1/2015,4.7,4.7,4.5,4.6,189278
AIMS1STMF,1/1/2015,28.6,29.6,28.5,29.3,1072620
DBH1STMF,1/1/2015,4.6,4.7,4.6,4.7,46749
EBL1STMF,1/1/2015,5.3,5.4,5.2,5.3,51694
EBLNRBMF,1/1/2015,4.8,4.9,4.6,4.7,170038
EXIM1STMF,1/1/2015,7,7,6.8,7,105
FBFIF,1/1/2015,7,7,6.7,6.8,10562
GRAMEEN1,1/1/2015,22.5,23.6,22.5,23.4,361535
GRAMEENS2,1/1/2015,12.2,12.4,12.1,12.4,233897
GREENDELMF,1/1/2015,4.6,4.6,4.5,4.5,4751
ICB1STNRB,1/1/2015,21.1,21.3,21.1,21.3,128000
ICB2NDNRB,1/1/2015,7.8,8,7.8,7.8,84250
ICB3RDNRB,1/1/2015,4.3,4.5,4.3,4.4,104701
ICBAMCL2ND,1/1/2015,4.7,4.7,4.5,4.7,16000
ICBEPMF1S1,1/1/2015,4.5,4.6,4.5,4.5,8377
ICBSONALI1,1/1/2015,6.3,6.5,6.3,6.5,21001
IFIC1STMF,1/1/2015,5.1,5.5,5.1,5.2,305696
IFILISLMF1,1/1/2015,5.8,5.9,5.6,5.7,67500
LRGLOBMF1,1/1/2015,4.9,5,4.8,4.9,93030
MBL1STMF,1/1/2015,4.5,4.5,4.4,4.5,192000
NCCBLMF1,1/1/2015,5.8,5.8,5.6,5.7,114500
NLI1STMF,1/1/2015,8,8.1,8,8,165150
PF1STMF,1/1/2015,4.6,4.6,4.5,4.6,12901
PHPMF1,1/1/2015,4.8,4.8,4.6,4.7,37497
POPULAR1MF,1/1/2015,5,5.1,4.9,5,170584
PRIME1ICBA,1/1/2015,4.4,4.5,4.4,4.4,27788
RELIANCE1,1/1/2015,7.2,7.3,7.2,7.3,166971
SEBL1STMF,1/1/2015,7.7,7.9,7.7,7.8,57500
TRUSTB1MF,1/1/2015,5.3,5.5,5.3,5.4,187307
ECABLES,1/1/2015,119.5,120.5,119,119.5,2417
SPCL,1/1/2015,203,203,185,188.4,41872
UNITEDFIN,1/1/2015,30.4,30.9,30,30.7,399060
DSEGEN,1/1/2015,0,0,0,0,2275410000
DSEX,1/1/2015,4864.96,4946.9,4864.96,4941.52,46383800
